bulan,produk,terjual,harga,total
oktober,kopi_aren,91,12000,1092000
oktober,kopi_ungu,105,12000,1260000
oktober,kopi_coklat,105,12000,1260000
oktober,kopi_creamy,105,12000,1260000
oktober,awan_bengi,108,12000,1296000
oktober,ice_tea,101,5000,505000
oktober,milk_tea,101,12000,1212000
oktober,melon_tea,119,8000,952000
oktober,yakult_leci,111,8000,888000
oktober,lemon_tea,105,8000,840000
oktober,leci_tea,131,8000,1048000
oktober,hot_tea,92,5000,460000
oktober,lotus_latte,97,12000,1164000
november,kopi_aren,54,12000,648000
november,kopi_ungu,64,12000,768000
november,kopi_coklat,86,12000,1032000
november,kopi_creamy,60,12000,720000
november,awan_bengi,62,12000,744000
november,ice_tea,65,5000,325000
november,milk_tea,49,12000,588000
november,melon_tea,55,8000,440000
november,yakult_leci,69,8000,552000
november,lemon_tea,59,8000,472000
november,leci_tea,69,8000,552000
november,hot_tea,62,5000,310000
november,lotus_latte,53,12000,636000
